# eps[MeV/(fm^3)]	p[MeV/(fm^3)]	n[fm^{-3}]	mu[MeV]
7879.966112804217	12077.078956493151	2.3935999999999997	8337.669230154315
7843.302965465656	12014.902933849464	2.3855999999999997	8324.197643911435
7806.639818127095	11952.726911205775	2.3775999999999997	8310.635400964364
7769.976670788536	11890.550888562082	2.3695999999999997	8296.981583115556
7733.313523449974	11828.374865918395	2.3615999999999997	8283.235259725767
7696.6503761114145	11766.198843274706	2.3535999999999997	8269.395487502601
7659.987228772853	11704.022820631015	2.3455999999999997	8255.461310284732
7623.324081434292	11641.846797987326	2.3375999999999997	8241.431758821705
7586.660934095729	11579.670775343637	2.3295999999999997	8227.305850549179
7549.997786757171	11517.494752699946	2.3215999999999997	8213.082589359547
7513.334639418609	11455.318730056257	2.3135999999999997	8198.760965367768
7476.6714920800505	11393.14270741257	2.3056	8184.339954672371
7440.008344741491	11330.966684768882	2.2976	8169.818519111409
7403.345197402929	11268.790662125193	2.2896	8155.195606013332
7366.682050064369	11206.6146394815	2.2816	8140.470147942615
7330.018902725808	11144.438616837813	2.2736	8125.641062440016
7293.355755387246	11082.262594194124	2.2656	8110.707251757313
7256.6926080486855	11020.086571550431	2.2576	8095.667602586426
7220.029460710126	10957.910548906744	2.2496	8080.520985782747
7183.3663133715645	10895.734526263055	2.2416	8065.266256082539
7146.703166033005	10833.558503619364	2.2336	8049.9022518142765
7110.0400186944435	10771.382480975673	2.2256	8034.427794603755
7073.376871355882	10709.206458331986	2.2176	8018.841689072812
7036.713724017323	10647.030435688295	2.2096	8003.1427225315065
7000.050576678761	10584.854413044606	2.2016	7987.329664663593
6963.3874293402		10522.678390400917	2.1936	7971.401267205105
6926.724282001639	10460.502367757226	2.1856	7955.3562636158795
6890.0611346630785	10398.326345113537	2.1776	7939.193368743853
6853.397987324517	10336.150322469848	2.1696	7922.911278481916
6816.7348399859575	10273.97429982616	2.1616	7906.508669417154
6780.071692647398	10211.798277182468	2.1536	7889.984198472263
6743.4085453088355	10149.622254538779	2.1456	7873.336502538969
6706.745397970274	10087.446231895092	2.1376	7856.564198103185
6670.082250631714	10025.2702092514	2.1296	7839.665880861718
6633.419103293153	9963.09418660771	2.1216	7822.640125330347
6596.7559559545925	9900.918163964023	2.1136	7805.485484442948
6560.092808616031	9838.742141320334	2.1056	7788.200489141511
6523.4296612774715	9776.566118676641	2.0976	7770.783647956766
6486.76651393891	9714.390096032954	2.0896	7753.233446579185
6450.10336660035	9652.214073389265	2.0816	7735.548347420068
6413.440219261788	9590.038050745574	2.0736	7717.7267891625015
6376.777071923228	9527.862028101883	2.0656	7699.767186301855
6340.113924584667	9465.686005458196	2.0576	7681.667928675576
6303.450777246107	9403.509982814505	2.0496	7663.427380981953
6266.787629907545	9341.333960170816	2.0416	7645.0438822875985
6230.1244825689855	9279.157937527127	2.0336	7626.515745523265
6193.461335230423	9216.981914883436	2.0256	7607.841256967743
6156.798187891864	9154.805892239747	2.0176	7589.018675719474
6120.135040553302	9092.629869596058	2.0096	7570.046233155534
6083.471893214742	9030.453846952367	2.0016	7550.922132377653
6046.808745876182	8968.27782430868	1.9936	7531.644547644894
6010.14559853762	8906.10180166499	1.9856	7512.211623792612
5973.48245119906	8843.925779021301	1.9776	7492.621475637317
5936.8193038604995	8781.74975637761	1.9696	7472.872187367034
5900.15615652194	8719.573733733921	1.9616	7452.961811916732
5863.4930091833785	8657.397711090232	1.9536	7432.888370328425
5826.829861844818	8595.221688446542	1.9456	7412.649851095475
5790.166714506256	8533.045665802852	1.9376	7392.244209490663
5753.503567167696	8470.869643159163	1.9296	7371.669366877519
5716.840419829134	8408.693620515473	1.9216	7350.923210004478
5680.177272490576	8346.517597871785	1.9136000000000002	7330.003590281332
5643.5141251520145	8284.341575228096	1.9056000000000002	7308.908323037421
5606.850977813454	8222.165552584407	1.8976000000000002	7287.635186761098
5570.1878304748925	8159.989529940716	1.8896000000000002	7266.181922319859
5533.524683136332	8097.813507297027	1.8816000000000002	7244.5462321605855
5496.8615357977715	8035.637484653339	1.8736000000000002	7222.725779489278
5460.19838845921	7973.46146200965	1.8656000000000001	7200.718187429705
5423.53524112065	7911.285439365958	1.8576000000000001	7178.521038160319
5386.872093782089	7849.10941672227	1.8496000000000001	7156.131872028742
5350.2089464435285	7786.933394078581	1.8416000000000001	7133.548186643196
5313.545799104968	7724.757371434892	1.8336000000000001	7110.767435940151
5276.8826517664065	7662.5813487912		1.8256000000000001	7087.787029227436
5240.219504427846	7600.405326147512	1.8176	7064.604330202111
5203.5563570892855	7538.229303503823	1.8096	7041.216655942257
5166.893209750724	7476.053280860131	1.8016	7017.621275871922
5130.230062412164	7413.877258216443	1.7936	6993.815410698376
5093.566915073603	7351.701235572754	1.7856	6969.796231320764
5056.9037677350425	7289.525212929064	1.7776	6945.560857709331
5020.240620396481	7227.349190285374	1.7696	6921.106357754212
4983.57747305792	7165.173167641685	1.7616	6896.42974608288
4946.91432571936	7102.997144997995	1.7536	6871.527982845207
4910.2511783807995	7040.821122354306	1.7456	6846.397972465115
4873.588031042239	6978.645099710616	1.7376	6821.036562357766
4836.924883703678	6916.469077066926	1.7296	6795.440541611126
4800.261736365116	6854.293054423237	1.7216	6769.60663963078
4763.598589026556	6792.117031779549	1.7136	6743.531524746793
4726.935441687995	6729.941009135857	1.7056	6717.211802781339
4690.272294349434	6667.764986492168	1.6976	6690.644015575873
4653.609147010874	6605.58896384848	1.6896	6663.824639476417
4616.9459996723135	6543.412941204789	1.6816	6636.7500837756315
4580.282852333753	6481.236918561099	1.6736	6609.416689110212
4543.6197049951925	6419.0608959174115	1.6656000000000002	6581.820725812082
4506.956557656632	6356.884873273723	1.6576000000000002	6553.958392211845
4470.2934103180705	6294.708850630032	1.6496000000000002	6525.825812892884
4433.63026297951	6232.532827986342	1.6416000000000002	6497.419036894402
4396.9671156409495	6170.356805342654	1.6336000000000002	6468.734035861656
4360.303968302389	6108.180782698963	1.6256000000000002	6439.766702141579
4323.6408209638275	6046.004760055273	1.6176000000000001	6410.512846821896
4286.977673625266	5983.828737411584	1.6096000000000001	6380.968197711761
4250.3145262867065	5921.652714767896	1.6016000000000001	6351.128397261864
4213.651378948146	5859.476692124206	1.5936000000000001	6320.989000421906
4176.988231609585	5797.300669480515	1.5856000000000001	6290.545472433211
4140.325084271024	5735.124646836827	1.5776000000000001	6259.793186554165
4103.6619369324635	5672.948624193137	1.5696	6228.727421716106
