  # e[MeV/fm3],   pr[MeV/fm3],  n_b[1/fm3],  mu_b[MeV]
 0.145192  0.000264929  0.000154906  939 
 0.586689  0.0008023  0.000624531  940.693 
 2.05564  0.00256359  0.00218403  942.387 
 5.3643  0.00868213  0.00569123  944.08 
 11.7296  0.0248565  0.0124284  945.773 
 22.0686  0.0579453  0.0233533  947.467 
 36.6191  0.113688  0.0387003  949.16 
 53.6048  0.194684  0.0565802  950.854 
 70.8706  0.300799  0.0747169  952.547 
 87.1961  0.430339  0.0918285  954.24 
 98.1918  0.585801  0.103331  955.934 
 108.378  0.761728  0.113969  957.627 
 117.941  0.956303  0.123939  959.32 
 126.813  1.16813  0.133173  961.014 
 135.054  1.39593  0.141736  962.707 
 142.751  1.63857  0.14972  964.4 
 149.983  1.8951  0.157209  966.094 
 156.816  2.16469  0.164272  967.787 
 163.304  2.44662  0.170968  969.48 
 169.491  2.74027  0.177343  971.174 
 175.414  3.04508  0.183436  972.867 
 181.103  3.36057  0.189279  974.561 
 186.584  3.6863  0.194898  976.254 
 191.877  4.02188  0.200316  977.947 
 197  4.36696  0.205552  979.641 
 201.97  4.7212  0.210623  981.334 
 206.799  5.08432  0.215542  983.027 
 211.5  5.45604  0.220323  984.721 
 216.082  5.83611  0.224975  986.414 
 220.555  6.22431  0.229509  988.107 
 224.926  6.62041  0.233932  989.801 
 229.203  7.02423  0.238254  991.494 
 233.391  7.43556  0.242479  993.187 
 237.498  7.85425  0.246614  994.881 
 241.527  8.28012  0.250665  996.574 
 245.483  8.71301  0.254637  998.268 
 249.371  9.1528  0.258534  999.961 
 253.194  9.59933  0.26236  1001.65 
 256.957  10.0525  0.266119  1003.35 
 260.661  10.5121  0.269813  1005.04 
 264.311  10.9781  0.273448  1006.73 
 267.909  11.4504  0.277025  1008.43 
 271.457  11.9289  0.280546  1010.12 
 274.957  12.4133  0.284015  1011.81 
 278.413  12.9038  0.287434  1013.51 
 281.825  13.4001  0.290805  1015.2 
 285.197  13.9022  0.29413  1016.89 
 288.528  14.41  0.29741  1018.59 
 291.822  14.9235  0.300648  1020.28 
 295.079  15.4424  0.303845  1021.97 
 298.302  15.9668  0.307002  1023.67 
 301.491  16.4966  0.310122  1025.36 
 304.647  17.0317  0.313205  1027.05 
 307.773  17.5721  0.316253  1028.75 
 310.868  18.1176  0.319267  1030.44 
 313.934  18.6683  0.322247  1032.13 
 316.973  19.224  0.325196  1033.83 
 319.984  19.7848  0.328114  1035.52 
 322.969  20.3504  0.331002  1037.21 
 325.93  20.921  0.333861  1038.91 
 328.865  21.4964  0.336691  1040.6 
 331.777  22.0766  0.339495  1042.29 
 334.666  22.6615  0.342272  1043.99 
 337.533  23.2512  0.345023  1045.68 
 340.378  23.8454  0.347749  1047.37 
 343.202  24.4443  0.35045  1049.07 
 346.006  25.0477  0.353128  1050.76 
 348.79  25.6556  0.355783  1052.45 
 351.554  26.268  0.358415  1054.15 
 354.3  26.8848  0.361025  1055.84 
 357.028  27.506  0.363614  1057.54 
 359.738  28.1315  0.366181  1059.23 
 362.431  28.7613  0.368729  1060.92 
 365.107  29.3954  0.371256  1062.62 
 367.767  30.0338  0.373764  1064.31 
 370.41  30.6763  0.376253  1066 
 373.039  31.323  0.378724  1067.7 
 375.651  31.9738  0.381176  1069.39 
 378.25  32.6288  0.383611  1071.08 
 380.833  33.2878  0.386028  1072.78 
 383.403  33.9508  0.388428  1074.47 
 385.958  34.6178  0.390811  1076.16 
 388.501  35.2889  0.393178  1077.86 
 391.03  35.9638  0.39553  1079.55 
 393.546  36.6427  0.397865  1081.24 
 396.049  37.3255  0.400185  1082.94 
 398.54  38.0121  0.40249  1084.63 
 401.02  38.7025  0.404781  1086.32 
 403.487  39.3968  0.407056  1088.02 
 405.943  40.0948  0.409318  1089.71 
 408.387  40.7967  0.411566  1091.4 
 410.82  41.5022  0.4138  1093.1 
 413.243  42.2114  0.41602  1094.79 
 415.655  42.9244  0.418227  1096.48 
 418.056  43.6409  0.420422  1098.18 
 420.447  44.3612  0.422603  1099.87 
 422.828  45.085  0.424772  1101.56 
 425.199  45.8124  0.426929  1103.26 
 427.561  46.5434  0.429074  1104.95 
 429.913  47.278  0.431206  1106.64 
 432.256  48.0161  0.433327  1108.34 
 434.59  48.7577  0.435437  1110.03 
 436.915  49.5028  0.437535  1111.72 
 439.231  50.2513  0.439622  1113.42 
 441.538  51.0033  0.441698  1115.11 
 443.837  51.7587  0.443763  1116.8 
 446.128  52.5176  0.445818  1118.5 
 448.41  53.2798  0.447862  1120.19 
 450.685  54.0454  0.449895  1121.88 
 452.951  54.8144  0.451919  1123.58 
 455.21  55.5867  0.453933  1125.27 
 457.461  56.3623  0.455936  1126.96 
 459.704  57.1412  0.45793  1128.66 
 461.941  57.9234  0.459915  1130.35 
 464.17  58.7089  0.461889  1132.04 
 466.392  59.4976  0.463855  1133.74 
 468.606  60.2896  0.465811  1135.43 
 470.814  61.0848  0.467759  1137.12 
 473.015  61.8832  0.469697  1138.82 
 475.21  62.6848  0.471627  1140.51 
 477.398  63.4896  0.473547  1142.2 
 479.579  64.2975  0.47546  1143.9 
 481.754  65.1086  0.477363  1145.59 
 483.923  65.9228  0.479259  1147.28 
 486.085  66.7401  0.481146  1148.98 
 488.242  67.5605  0.483025  1150.67 
 490.392  68.3841  0.484896  1152.36 
 492.537  69.2107  0.486759  1154.06 
 494.675  70.0403  0.488614  1155.75 
 496.808  70.873  0.490462  1157.44 
 498.936  71.7088  0.492301  1159.14 
 501.057  72.5476  0.494134  1160.83 
 503.174  73.3893  0.495958  1162.52 
 505.284  74.2341  0.497776  1164.22 
 507.39  75.0819  0.499586  1165.91 
 509.49  75.9326  0.501389  1167.6 
 511.585  76.7863  0.503184  1169.3 
 513.675  77.643  0.504973  1170.99 
 515.76  78.5026  0.506755  1172.68 
 517.84  79.3651  0.50853  1174.38 
 519.915  80.2305  0.510298  1176.07 
 521.986  81.0988  0.512059  1177.76 
 524.051  81.9701  0.513814  1179.46 
 526.112  82.8442  0.515562  1181.15 
 528.168  83.7211  0.517303  1182.84 
 530.219  84.601  0.519039  1184.54 
 532.267  85.4836  0.520767  1186.23 
 534.309  86.3691  0.52249  1187.92 
 536.347  87.2575  0.524206  1189.62 
 538.381  88.1486  0.525917  1191.31 
 540.411  89.0426  0.527621  1193 
 542.436  89.9394  0.529319  1194.7 
 544.457  90.8389  0.531011  1196.39 
 546.474  91.7412  0.532697  1198.08 
 548.487  92.6463  0.534377  1199.78 
 550.496  93.5542  0.536052  1201.47 
 552.501  94.4648  0.537721  1203.16 
 554.502  95.3781  0.539384  1204.86 
 556.499  96.2942  0.541041  1206.55 
 558.493  97.2129  0.542693  1208.24 
 560.482  98.1344  0.54434  1209.94 
 562.468  99.0586  0.545981  1211.63 
 564.45  99.9855  0.547616  1213.32 
 566.429  100.915  0.549247  1215.02 
 568.404  101.847  0.550872  1216.71 
 570.375  102.782  0.552491  1218.4 
 572.343  103.72  0.554106  1220.1 
 574.308  104.66  0.555715  1221.79 
 576.269  105.603  0.55732  1223.48 
 578.227  106.548  0.558919  1225.18 
 580.181  107.496  0.560513  1226.87 
 582.132  108.447  0.562103  1228.56 
 584.08  109.401  0.563687  1230.26 
 586.024  110.356  0.565267  1231.95 
 587.966  111.315  0.566841  1233.64 
 589.904  112.276  0.568411  1235.34 
 591.839  113.24  0.569977  1237.03 
 593.771  114.206  0.571537  1238.72 
 595.7  115.175  0.573093  1240.42 
 597.626  116.146  0.574644  1242.11 
 599.549  117.12  0.576191  1243.8 
 601.469  118.097  0.577733  1245.5 
 603.386  119.076  0.579271  1247.19 
 605.3  120.057  0.580804  1248.88 
 607.211  121.041  0.582333  1250.58 
 609.12  122.028  0.583857  1252.27 
 611.026  123.017  0.585378  1253.96 
 612.929  124.008  0.586893  1255.66 
 614.829  125.002  0.588405  1257.35 
 616.727  125.999  0.589912  1259.04 
 618.622  126.998  0.591415  1260.74 
 620.514  127.999  0.592914  1262.43 
 622.404  129.003  0.594409  1264.12 
 624.291  130.01  0.5959  1265.82 
 626.176  131.018  0.597387  1267.51 
 628.058  132.03  0.598869  1269.2 
 629.938  133.043  0.600348  1270.9 
 631.815  134.06  0.601823  1272.59 
 633.69  135.078  0.603293  1274.28 
 635.562  136.099  0.60476  1275.98 
 637.432  137.123  0.606223  1277.67 
 639.299  138.148  0.607682  1279.36 
 641.165  139.176  0.609138  1281.06 
 643.027  140.207  0.610589  1282.75 
 644.888  141.24  0.612037  1284.44 
 646.746  142.275  0.613481  1286.14 
 648.603  143.313  0.614922  1287.83 
 650.456  144.353  0.616358  1289.53 
 652.308  145.396  0.617792  1291.22 
 654.158  146.441  0.619221  1292.91 
 656.005  147.488  0.620647  1294.61 
 657.85  148.537  0.622069  1296.3 
 659.693  149.589  0.623488  1297.99 
 661.535  150.643  0.624904  1299.69 
 663.374  151.7  0.626315  1301.38 
 665.211  152.759  0.627724  1303.07 
 667.045  153.82  0.629129  1304.77 
 668.878  154.883  0.63053  1306.46 
 670.709  155.949  0.631928  1308.15 
 672.538  157.017  0.633323  1309.85 
 674.365  158.088  0.634715  1311.54 
 676.191  159.16  0.636103  1313.23 
 678.014  160.235  0.637488  1314.93 
 679.835  161.313  0.63887  1316.62 
 681.655  162.392  0.640248  1318.31 
 683.472  163.474  0.641623  1320.01 
 685.288  164.558  0.642995  1321.7 
 687.102  165.644  0.644364  1323.39 
 688.914  166.733  0.64573  1325.09 
 690.725  167.824  0.647092  1326.78 
 692.534  168.917  0.648452  1328.47 
 694.34  170.012  0.649808  1330.17 
 696.146  171.11  0.651162  1331.86 
 697.949  172.209  0.652512  1333.55 
 699.751  173.311  0.653859  1335.25 
 701.551  174.416  0.655203  1336.94 
 703.35  175.522  0.656545  1338.63 
 705.147  176.631  0.657883  1340.33 
 706.942  177.742  0.659218  1342.02 
 708.736  178.855  0.660551  1343.71 
 710.528  179.97  0.66188  1345.41 
 712.318  181.088  0.663207  1347.1 
 714.107  182.207  0.664531  1348.79 
 715.894  183.329  0.665852  1350.49 
 717.68  184.453  0.66717  1352.18 
 719.465  185.58  0.668485  1353.87 
 721.247  186.708  0.669798  1355.57 
 723.029  187.838  0.671108  1357.26 
 724.809  188.971  0.672415  1358.95 
 726.587  190.106  0.673719  1360.65 
 728.364  191.243  0.675021  1362.34 
 730.14  192.382  0.676319  1364.03 
 731.914  193.524  0.677616  1365.73 
 733.686  194.667  0.678909  1367.42 
 735.458  195.813  0.6802  1369.11 
 737.228  196.961  0.681488  1370.81 
 738.996  198.111  0.682774  1372.5 
 740.763  199.263  0.684057  1374.19 
 742.529  200.417  0.685337  1375.89 
 744.294  201.573  0.686615  1377.58 
 746.057  202.731  0.68789  1379.27 
 747.819  203.892  0.689163  1380.97 
 749.58  205.055  0.690433  1382.66 
 751.339  206.219  0.691701  1384.35 
 753.097  207.386  0.692966  1386.05 
 754.854  208.555  0.694229  1387.74 
 756.61  209.726  0.695489  1389.43 
 758.364  210.899  0.696747  1391.13 
 760.117  212.074  0.698003  1392.82 
 761.869  213.252  0.699255  1394.51 
 763.62  214.431  0.700506  1396.21 
 765.37  215.612  0.701754  1397.9 
 767.118  216.796  0.703  1399.59 
 768.866  217.981  0.704243  1401.29 
 770.612  219.169  0.705485  1402.98 
 772.357  220.359  0.706723  1404.67 
 774.101  221.55  0.70796  1406.37 
 775.843  222.744  0.709194  1408.06 
 777.585  223.94  0.710426  1409.75 
 779.325  225.138  0.711655  1411.45 
 781.065  226.338  0.712882  1413.14 
 782.803  227.54  0.714107  1414.83 
 784.541  228.744  0.71533  1416.53 
 786.277  229.95  0.716551  1418.22 
 788.012  231.158  0.717769  1419.91 
 789.746  232.368  0.718985  1421.61 
 791.479  233.58  0.720199  1423.3 
 793.212  234.794  0.721411  1424.99 
 794.943  236.01  0.72262  1426.69 
 796.673  237.228  0.723828  1428.38 
 798.402  238.449  0.725033  1430.07 
 800.13  239.671  0.726236  1431.77 
 801.857  240.895  0.727437  1433.46 
 803.584  242.121  0.728636  1435.15 
 805.309  243.349  0.729833  1436.85 
 807.033  244.579  0.731027  1438.54 
 808.757  245.811  0.73222  1440.23 
 810.479  247.045  0.73341  1441.93 
